Student,College,Honours,Program,Program Code,Faculty,學院
UC 1,UC,1,Anthropology,ANTH,Faculty of Arts,文學院
NA 1,NA,1,Anthropology,ANTH,Faculty of Arts,文學院
SC 1,SC,1,Anthropology,ANTH,Faculty of Arts,文學院
NA 3,NA,3,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 3,NA,3,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 3,NA,3,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 3,NA,3,Anthropology,ANTH,Faculty of Arts,文學院
NA 3,NA,3,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
CC 3,CC,3,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
UC 3,UC,3,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
SC 3,SC,3,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
NA 2,NA,2,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
NA 2,NA,2,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
UC 3,UC,3,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
SC 2,SC,2,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
NA 2,NA,2,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
SC 3,SC,3,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
SC 3,SC,3,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
CC 3,CC,3,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
NA 2,NA,2,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
WS 4,WS,4,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
NA 2,NA,2,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
CC 1,CC,1,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
CC 1,CC,1,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 1,NA,1,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
CC 1,CC,1,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
CC 1,CC,1,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
CC 1,CC,1,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 1,NA,1,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 1,SC,1,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SH 1,SH,1,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
CC 1,CC,1,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 1,NA,1,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 1,UC,1,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 1,SC,1,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 1,SC,1,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 1,NA,1,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 1,SC,1,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
MC 1,MC,1,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 2,SC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 2,SC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 2,SC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SH 2,SH,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 2,SC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 4,NA,4,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
CC 3,CC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
WS 3,WS,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 2,SC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 3,SC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 3,SC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 2,NA,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 2,NA,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
CC 3,CC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 3,UC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
YS 4,YS,4,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
CC 2,CC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 3,SC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
CC 2,CC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 3,SC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 2,UC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 2,UC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
CC 3,CC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
YS 2,YS,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 2,UC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 2,NA,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 2,SC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 2,UC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
CC 2,CC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
YS 3,YS,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 3,NA,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 2,NA,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 2,SC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
CC 3,CC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 2,SC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 3,SC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 3,SC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 3,SC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 2,NA,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 2,UC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 3,UC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 3,UC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 2,NA,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 4,UC,4,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 3,UC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 2,UC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 2,NA,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 2,UC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 3,SC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 2,NA,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 2,SC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
WS 3,WS,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
WS 3,WS,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 3,SC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 3,SC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 2,NA,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 3,SC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 2,NA,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
YS 2,YS,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 3,UC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 2,NA,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 2,SC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 3,UC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
WS 3,WS,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
WS 2,WS,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 3,NA,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
CC 2,CC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
YS 2,YS,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 2,NA,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
WS 2,WS,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 3,SC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 2,SC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
CC 3,CC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
WS 3,WS,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 2,NA,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 3,UC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
CC 2,CC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 3,UC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 3,SC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
CC 3,CC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 3,UC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
CC 3,CC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 4,SC,4,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 4,NA,4,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 2,UC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 2,SC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
UC 2,UC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 2,NA,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 3,NA,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 2,NA,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
CC 2,CC,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
SC 3,SC,3,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 2,NA,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
WS 2,WS,2,Chinese Language and Literature,CHLL,Faculty of Arts,文學院
NA 1,NA,1,Cultural Management,CUMT,Faculty of Arts,文學院
NA 1,NA,1,Cultural Management,CUMT,Faculty of Arts,文學院
CC 2,CC,2,Cultural Management,CUMT,Faculty of Arts,文學院
SC 2,SC,2,Cultural Management,CUMT,Faculty of Arts,文學院
CC 2,CC,2,Cultural Management,CUMT,Faculty of Arts,文學院
NA 3,NA,3,Cultural Management,CUMT,Faculty of Arts,文學院
SC 2,SC,2,Cultural Management,CUMT,Faculty of Arts,文學院
CC 2,CC,2,Cultural Management,CUMT,Faculty of Arts,文學院
NA 2,NA,2,Cultural Management,CUMT,Faculty of Arts,文學院
NA 3,NA,3,Cultural Management,CUMT,Faculty of Arts,文學院
SC 2,SC,2,Cultural Management,CUMT,Faculty of Arts,文學院
UC 3,UC,3,Cultural Management,CUMT,Faculty of Arts,文學院
WS 2,WS,2,Cultural Management,CUMT,Faculty of Arts,文學院
MC 3,MC,3,Cultural Management,CUMT,Faculty of Arts,文學院
NA 2,NA,2,Cultural Management,CUMT,Faculty of Arts,文學院
NA 2,NA,2,Cultural Management,CUMT,Faculty of Arts,文學院
UC 3,UC,3,Cultural Management,CUMT,Faculty of Arts,文學院
UC 2,UC,2,Cultural Management,CUMT,Faculty of Arts,文學院
WS 2,WS,2,Cultural Management,CUMT,Faculty of Arts,文學院
UC 3,UC,3,Cultural Management,CUMT,Faculty of Arts,文學院
UC 2,UC,2,Cultural Management,CUMT,Faculty of Arts,文學院
CC 2,CC,2,Cultural Management,CUMT,Faculty of Arts,文學院
CC 1,CC,1,Cultural Management,CUMT,Faculty of Arts,文學院
NA 1,NA,1,Cultural Management,CUMT,Faculty of Arts,文學院
UC 1,UC,1,Cultural Management,CUMT,Faculty of Arts,文學院
NA 2,NA,2,Cultural Management,CUMT,Faculty of Arts,文學院
UC 3,UC,3,Cultural Management,CUMT,Faculty of Arts,文學院
UC 2,UC,2,Cultural Management,CUMT,Faculty of Arts,文學院
NA 2,NA,2,Cultural Management,CUMT,Faculty of Arts,文學院
UC 2,UC,2,Cultural Management,CUMT,Faculty of Arts,文學院
WS 2,WS,2,Cultural Management,CUMT,Faculty of Arts,文學院
UC 2,UC,2,Cultural Management,CUMT,Faculty of Arts,文學院
UC 2,UC,2,Cultural Management,CUMT,Faculty of Arts,文學院
UC 3,UC,3,Cultural Management,CUMT,Faculty of Arts,文學院
CC 2,CC,2,Cultural Management,CUMT,Faculty of Arts,文學院
SC 2,SC,2,Cultural Management,CUMT,Faculty of Arts,文學院
YS 2,YS,2,Cultural Management,CUMT,Faculty of Arts,文學院
UC 2,UC,2,Cultural Management,CUMT,Faculty of Arts,文學院
SC 3,SC,3,Cultural Management,CUMT,Faculty of Arts,文學院
YS 3,YS,3,Cultural Management,CUMT,Faculty of Arts,文學院
WS 3,WS,3,Cultural Management,CUMT,Faculty of Arts,文學院
YS 3,YS,3,Cultural Management,CUMT,Faculty of Arts,文學院
YS 2,YS,2,Cultural Management,CUMT,Faculty of Arts,文學院
UC 3,UC,3,Cultural Management,CUMT,Faculty of Arts,文學院
CC 1,CC,1,Cultural Studies,CULS,Faculty of Arts,文學院
NA 1,NA,1,Cultural Studies,CULS,Faculty of Arts,文學院
UC 1,UC,1,Cultural Studies,CULS,Faculty of Arts,文學院
NA 2,NA,2,Cultural Studies,CULS,Faculty of Arts,文學院
UC 3,UC,3,Cultural Studies,CULS,Faculty of Arts,文學院
UC 2,UC,2,Cultural Studies,CULS,Faculty of Arts,文學院
NA 2,NA,2,Cultural Studies,CULS,Faculty of Arts,文學院
UC 2,UC,2,Cultural Studies,CULS,Faculty of Arts,文學院
WS 2,WS,2,Cultural Studies,CULS,Faculty of Arts,文學院
UC 2,UC,2,Cultural Studies,CULS,Faculty of Arts,文學院
UC 2,UC,2,Cultural Studies,CULS,Faculty of Arts,文學院
UC 3,UC,3,Cultural Studies,CULS,Faculty of Arts,文學院
CC 2,CC,2,Cultural Studies,CULS,Faculty of Arts,文學院
SC 2,SC,2,Cultural Studies,CULS,Faculty of Arts,文學院
YS 2,YS,2,Cultural Studies,CULS,Faculty of Arts,文學院
UC 2,UC,2,Cultural Studies,CULS,Faculty of Arts,文學院
SC 3,SC,3,Cultural Studies,CULS,Faculty of Arts,文學院
YS 3,YS,3,Cultural Studies,CULS,Faculty of Arts,文學院
WS 3,WS,3,Cultural Studies,CULS,Faculty of Arts,文學院
YS 3,YS,3,Cultural Studies,CULS,Faculty of Arts,文學院
YS 2,YS,2,Cultural Studies,CULS,Faculty of Arts,文學院
UC 3,UC,3,Cultural Studies,CULS,Faculty of Arts,文學院
SC 2,SC,2,Cultural Studies,CULS,Faculty of Arts,文學院
SH 2,SH,2,Cultural Studies,CULS,Faculty of Arts,文學院
SC 2,SC,2,Cultural Studies,CULS,Faculty of Arts,文學院
CC 3,CC,3,Cultural Studies,CULS,Faculty of Arts,文學院
CC 3,CC,3,Cultural Studies,CULS,Faculty of Arts,文學院
UC 3,UC,3,Cultural Studies,CULS,Faculty of Arts,文學院
NA 3,NA,3,English,ENGE,Faculty of Arts,文學院
UC 1,UC,1,English,ENGE,Faculty of Arts,文學院
UC 1,UC,1,English,ENGE,Faculty of Arts,文學院
SC 1,SC,1,English,ENGE,Faculty of Arts,文學院
NA 1,NA,1,English,ENGE,Faculty of Arts,文學院
YS 1,YS,1,English,ENGE,Faculty of Arts,文學院
NA 1,NA,1,English,ENGE,Faculty of Arts,文學院
CC 1,CC,1,English,ENGE,Faculty of Arts,文學院
UC 1,UC,1,English,ENGE,Faculty of Arts,文學院
SC 1,SC,1,English,ENGE,Faculty of Arts,文學院
WS 1,WS,1,English,ENGE,Faculty of Arts,文學院
UC 1,UC,1,English,ENGE,Faculty of Arts,文學院
UC 1,UC,1,English,ENGE,Faculty of Arts,文學院
SH 4,SH,4,English,ENGE,Faculty of Arts,文學院
CC 2,CC,2,English,ENGE,Faculty of Arts,文學院
UC 3,UC,3,English,ENGE,Faculty of Arts,文學院
CC 2,CC,2,English,ENGE,Faculty of Arts,文學院
YS 4,YS,4,English,ENGE,Faculty of Arts,文學院
SC 2,SC,2,English,ENGE,Faculty of Arts,文學院
CC 2,CC,2,English,ENGE,Faculty of Arts,文學院
UC 2,UC,2,English,ENGE,Faculty of Arts,文學院
NA 2,NA,2,English,ENGE,Faculty of Arts,文學院
SC 2,SC,2,English,ENGE,Faculty of Arts,文學院
NA 3,NA,3,English,ENGE,Faculty of Arts,文學院
SC 3,SC,3,English,ENGE,Faculty of Arts,文學院
UC 3,UC,3,English,ENGE,Faculty of Arts,文學院
NA 2,NA,2,English,ENGE,Faculty of Arts,文學院
UC 3,UC,3,English,ENGE,Faculty of Arts,文學院
CC 3,CC,3,English,ENGE,Faculty of Arts,文學院
NA 2,NA,2,English,ENGE,Faculty of Arts,文學院
SC 2,SC,2,English,ENGE,Faculty of Arts,文學院
WS 2,WS,2,English,ENGE,Faculty of Arts,文學院
NA 2,NA,2,English,ENGE,Faculty of Arts,文學院
WS 2,WS,2,English,ENGE,Faculty of Arts,文學院
SC 3,SC,3,English,ENGE,Faculty of Arts,文學院
SC 2,SC,2,English,ENGE,Faculty of Arts,文學院
UC 4,UC,4,English,ENGE,Faculty of Arts,文學院
SC 3,SC,3,English,ENGE,Faculty of Arts,文學院
UC 2,UC,2,English,ENGE,Faculty of Arts,文學院
SC 2,SC,2,English,ENGE,Faculty of Arts,文學院
NA 3,NA,3,English,ENGE,Faculty of Arts,文學院
WS 2,WS,2,English,ENGE,Faculty of Arts,文學院
CC 2,CC,2,English,ENGE,Faculty of Arts,文學院
CC 2,CC,2,English,ENGE,Faculty of Arts,文學院
NA 2,NA,2,English,ENGE,Faculty of Arts,文學院
SC 2,SC,2,English,ENGE,Faculty of Arts,文學院
NA 2,NA,2,English,ENGE,Faculty of Arts,文學院
CC 3,CC,3,English,ENGE,Faculty of Arts,文學院
SC 4,SC,4,English,ENGE,Faculty of Arts,文學院
SC 3,SC,3,English,ENGE,Faculty of Arts,文學院
SH 2,SH,2,English,ENGE,Faculty of Arts,文學院
SC 2,SC,2,English,ENGE,Faculty of Arts,文學院
CC 2,CC,2,English,ENGE,Faculty of Arts,文學院
NA 3,NA,3,English,ENGE,Faculty of Arts,文學院
WS 4,WS,4,English,ENGE,Faculty of Arts,文學院
UC 3,UC,3,English,ENGE,Faculty of Arts,文學院
NA 4,NA,4,English,ENGE,Faculty of Arts,文學院
CC 3,CC,3,English,ENGE,Faculty of Arts,文學院
CC 3,CC,3,English,ENGE,Faculty of Arts,文學院
CW 3,CW,3,English,ENGE,Faculty of Arts,文學院
NA 4,NA,4,English,ENGE,Faculty of Arts,文學院
SC 3,SC,3,English,ENGE,Faculty of Arts,文學院
CC 3,CC,3,English,ENGE,Faculty of Arts,文學院
CC 3,CC,3,English,ENGE,Faculty of Arts,文學院
UC 3,UC,3,English,ENGE,Faculty of Arts,文學院
NA 1,NA,1,Fine Arts,FAAS,Faculty of Arts,文學院
NA 1,NA,1,Fine Arts,FAAS,Faculty of Arts,文學院
NA 1,NA,1,Fine Arts,FAAS,Faculty of Arts,文學院
NA 1,NA,1,Fine Arts,FAAS,Faculty of Arts,文學院
NA 2,NA,2,Fine Arts,FAAS,Faculty of Arts,文學院
NA 2,NA,2,Fine Arts,FAAS,Faculty of Arts,文學院
NA 2,NA,2,Fine Arts,FAAS,Faculty of Arts,文學院
NA 3,NA,3,Fine Arts,FAAS,Faculty of Arts,文學院
NA 3,NA,3,Fine Arts,FAAS,Faculty of Arts,文學院
NA 3,NA,3,Fine Arts,FAAS,Faculty of Arts,文學院
NA 2,NA,2,Fine Arts,FAAS,Faculty of Arts,文學院
NA 3,NA,3,Fine Arts,FAAS,Faculty of Arts,文學院
NA 2,NA,2,Fine Arts,FAAS,Faculty of Arts,文學院
NA 2,NA,2,Fine Arts,FAAS,Faculty of Arts,文學院
NA 2,NA,2,Fine Arts,FAAS,Faculty of Arts,文學院
NA 3,NA,3,Fine Arts,FAAS,Faculty of Arts,文學院
NA 2,NA,2,Fine Arts,FAAS,Faculty of Arts,文學院
NA 2,NA,2,Fine Arts,FAAS,Faculty of Arts,文學院
NA 2,NA,2,Fine Arts,FAAS,Faculty of Arts,文學院
NA 2,NA,2,Fine Arts,FAAS,Faculty of Arts,文學院
NA 3,NA,3,Fine Arts,FAAS,Faculty of Arts,文學院
NA 2,NA,2,Fine Arts,FAAS,Faculty of Arts,文學院
NA 3,NA,3,Fine Arts,FAAS,Faculty of Arts,文學院
SC 1,SC,1,History,HIST,Faculty of Arts,文學院
SC 1,SC,1,History,HIST,Faculty of Arts,文學院
UC 1,UC,1,History,HIST,Faculty of Arts,文學院
CC 1,CC,1,History,HIST,Faculty of Arts,文學院
NA 1,NA,1,History,HIST,Faculty of Arts,文學院
UC 1,UC,1,History,HIST,Faculty of Arts,文學院
UC 1,UC,1,History,HIST,Faculty of Arts,文學院
NA 1,NA,1,History,HIST,Faculty of Arts,文學院
UC 1,UC,1,History,HIST,Faculty of Arts,文學院
NA 1,NA,1,History,HIST,Faculty of Arts,文學院
UC 1,UC,1,History,HIST,Faculty of Arts,文學院
CC 1,CC,1,History,HIST,Faculty of Arts,文學院
UC 1,UC,1,History,HIST,Faculty of Arts,文學院
UC 1,UC,1,History,HIST,Faculty of Arts,文學院
SC 4,SC,4,History,HIST,Faculty of Arts,文學院
SC 2,SC,2,History,HIST,Faculty of Arts,文學院
YS 2,YS,2,History,HIST,Faculty of Arts,文學院
UC 2,UC,2,History,HIST,Faculty of Arts,文學院
WS 3,WS,3,History,HIST,Faculty of Arts,文學院
CW 3,CW,3,History,HIST,Faculty of Arts,文學院
CC 3,CC,3,History,HIST,Faculty of Arts,文學院
CC 2,CC,2,History,HIST,Faculty of Arts,文學院
WS 2,WS,2,History,HIST,Faculty of Arts,文學院
UC 2,UC,2,History,HIST,Faculty of Arts,文學院
WS 3,WS,3,History,HIST,Faculty of Arts,文學院
SC 3,SC,3,History,HIST,Faculty of Arts,文學院
CC 3,CC,3,History,HIST,Faculty of Arts,文學院
SC 3,SC,3,History,HIST,Faculty of Arts,文學院
NA 2,NA,2,History,HIST,Faculty of Arts,文學院
SC 3,SC,3,History,HIST,Faculty of Arts,文學院
WS 3,WS,3,History,HIST,Faculty of Arts,文學院
WS 2,WS,2,History,HIST,Faculty of Arts,文學院
NA 2,NA,2,History,HIST,Faculty of Arts,文學院
UC 3,UC,3,History,HIST,Faculty of Arts,文學院
NA 2,NA,2,History,HIST,Faculty of Arts,文學院
CC 4,CC,4,History,HIST,Faculty of Arts,文學院
SC 2,SC,2,History,HIST,Faculty of Arts,文學院
SC 2,SC,2,History,HIST,Faculty of Arts,文學院
CW 2,CW,2,History,HIST,Faculty of Arts,文學院
SC 3,SC,3,History,HIST,Faculty of Arts,文學院
UC 3,UC,3,History,HIST,Faculty of Arts,文學院
SC 2,SC,2,History,HIST,Faculty of Arts,文學院
SC 2,SC,2,History,HIST,Faculty of Arts,文學院
YS 3,YS,3,History,HIST,Faculty of Arts,文學院
YS 3,YS,3,History,HIST,Faculty of Arts,文學院
UC 2,UC,2,History,HIST,Faculty of Arts,文學院
SC 2,SC,2,History,HIST,Faculty of Arts,文學院
CC 2,CC,2,History,HIST,Faculty of Arts,文學院
NA 3,NA,3,History,HIST,Faculty of Arts,文學院
SC 2,SC,2,History,HIST,Faculty of Arts,文學院
CC 3,CC,3,History,HIST,Faculty of Arts,文學院
CC 2,CC,2,History,HIST,Faculty of Arts,文學院
SC 2,SC,2,History,HIST,Faculty of Arts,文學院
SC 3,SC,3,History,HIST,Faculty of Arts,文學院
CC 2,CC,2,History,HIST,Faculty of Arts,文學院
UC 2,UC,2,History,HIST,Faculty of Arts,文學院
CC 3,CC,3,History,HIST,Faculty of Arts,文學院
YS 2,YS,2,History,HIST,Faculty of Arts,文學院
WS 2,WS,2,History,HIST,Faculty of Arts,文學院
SC 2,SC,2,History,HIST,Faculty of Arts,文學院
NA 2,NA,2,History,HIST,Faculty of Arts,文學院
NA 3,NA,3,History,HIST,Faculty of Arts,文學院
UC 2,UC,2,History,HIST,Faculty of Arts,文學院
WS 2,WS,2,History,HIST,Faculty of Arts,文學院
SC 2,SC,2,History,HIST,Faculty of Arts,文學院
YS 1,YS,1,Japanese Studies,JASP,Faculty of Arts,文學院
WS 1,WS,1,Japanese Studies,JASP,Faculty of Arts,文學院
UC 1,UC,1,Japanese Studies,JASP,Faculty of Arts,文學院
YS 1,YS,1,Japanese Studies,JASP,Faculty of Arts,文學院
SC 1,SC,1,Japanese Studies,JASP,Faculty of Arts,文學院
YS 3,YS,3,Japanese Studies,JASP,Faculty of Arts,文學院
CC 2,CC,2,Japanese Studies,JASP,Faculty of Arts,文學院
CW 2,CW,2,Japanese Studies,JASP,Faculty of Arts,文學院
CC 4,CC,4,Japanese Studies,JASP,Faculty of Arts,文學院
SC 3,SC,3,Japanese Studies,JASP,Faculty of Arts,文學院
NA 2,NA,2,Japanese Studies,JASP,Faculty of Arts,文學院
NA 2,NA,2,Japanese Studies,JASP,Faculty of Arts,文學院
UC 2,UC,2,Japanese Studies,JASP,Faculty of Arts,文學院
YS 4,YS,4,Japanese Studies,JASP,Faculty of Arts,文學院
NA 2,NA,2,Japanese Studies,JASP,Faculty of Arts,文學院
SC 2,SC,2,Japanese Studies,JASP,Faculty of Arts,文學院
YS 3,YS,3,Japanese Studies,JASP,Faculty of Arts,文學院
NA 3,NA,3,Japanese Studies,JASP,Faculty of Arts,文學院
UC 2,UC,2,Japanese Studies,JASP,Faculty of Arts,文學院
CC 3,CC,3,Japanese Studies,JASP,Faculty of Arts,文學院
YS 2,YS,2,Japanese Studies,JASP,Faculty of Arts,文學院
UC 2,UC,2,Japanese Studies,JASP,Faculty of Arts,文學院
UC 2,UC,2,Japanese Studies,JASP,Faculty of Arts,文學院
YS 3,YS,3,Japanese Studies,JASP,Faculty of Arts,文學院
UC 3,UC,3,Japanese Studies,JASP,Faculty of Arts,文學院
YS 3,YS,3,Japanese Studies,JASP,Faculty of Arts,文學院
CC 2,CC,2,Japanese Studies,JASP,Faculty of Arts,文學院
SC 2,SC,2,Japanese Studies,JASP,Faculty of Arts,文學院
SC 2,SC,2,Japanese Studies,JASP,Faculty of Arts,文學院
